,utterance,a,aː,b,bʰ,b̤,c,cʰ,d̪,d̪ʰ,d̪̤,e,eː,f,h,i,iː,j,k,kʰ,l,l̪,m,n,n̪,o,oː,p,pʰ,r̪,s,s̪,t̪,t̪ʰ,u,uː,v,w,z̪,æ,ŋ,ɖ,ɖʰ,ɖ̤,ɟ,ɟʰ,ɟ̤,ɡ,ɡʰ,ɭ,ɳ,ɾ,ʂ,ʃ,ʈ,ʈʰ,ʝ,class
0,knf_00001_00004143102,698.0474625740713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.9559189687557,0.0,0.0,0.0,410.7191462029237,507.46800689716514,380.00859992491104,704.1903199194304,0.0,449.5964456799898,0.0,0.0,425.06667639866987,0.0,421.2951740412679,0.0,0.0,0.0,0.0,666.0699833579911,0.0,708.9996936756075,0.0,481.4342178878685,0.0,455.962960497572,0.0,0.0,0.0,0.0,0.0,0.0,429.1838558171088,0.0,0.0,0.0,0.0,0.0,0.0,483.94020959281295,487.53438980671837,0.0,0.0,0.0,0.0,0.0,1
1,knf_00001_00090736678,767.1764607735494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.485621920339,0.0,0.0,0.0,513.272909512418,424.3673858769943,454.9796689743496,0.0,0.0,398.8818669736196,0.0,0.0,540.759374647636,0.0,459.6822080234088,0.0,508.31838281658645,0.0,0.0,0.0,0.0,676.708702314046,0.0,404.813222657423,0.0,365.3295417055615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.5745344268389,0.0,0.0,0.0,0.0,0.0,0.0,554.6798254711896,1329.265908698958,0.0,0.0,0.0,0.0,1
2,knf_00001_00176521305,660.9027683303774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.75005440287106,0.0,0.0,0.0,380.8903175267864,0.0,0.0,656.6439211958066,0.0,505.00885595915713,0.0,372.3541117169292,405.31513569983355,0.0,499.22808281440587,0.0,493.91965065007065,0.0,0.0,1058.5229213653786,0.0,481.33421529109853,0.0,0.0,0.0,366.29949063519234,0.0,0.0,736.3402896206434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.32976539687274,548.5111038907709,2009.1535931706987,0.0,0.0,0.0,0.0,1
3,knf_00001_00193278498,765.9304030374185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.8893194126435,0.0,527.0235917063065,0.0,462.4403696106687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.552661818048,0.0,0.0,0.0,0.0,1
4,knf_00001_00232311673,705.181186761679,0.0,308.29967140476725,0.0,558.1395376479904,0.0,0.0,588.0894827361984,0.0,0.0,600.8045098025841,0.0,0.0,435.4066914101524,418.3508750478493,463.3467080176864,471.29768295151234,562.8413868741513,0.0,401.2224615851104,550.9056171885733,0.0,463.461473734268,0.0,494.2824278930512,0.0,510.760612976659,0.0,0.0,1087.7460897626725,0.0,556.719884972721,0.0,504.7622037310928,0.0,387.2028224521839,0.0,0.0,635.3985783794178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.4347077305415,0.0,0.0,468.01458100625035,500.73931461377987,1631.6137251185378,0.0,0.0,0.0,0.0,1
5,knf_00001_00268239215,664.5656632911357,0.0,0.0,0.0,361.6826264166184,0.0,0.0,673.2556597149169,0.0,0.0,540.2189676511247,0.0,0.0,0.0,453.86631158356045,0.0,431.4479149634041,0.0,0.0,463.5026060242642,396.4635794243736,0.0,460.92507976062745,0.0,0.0,0.0,466.8856525775655,0.0,0.0,838.0595609353666,0.0,679.3143307757192,0.0,452.6463899299689,0.0,474.5684024740788,0.0,0.0,578.1975644829167,0.0,0.0,0.0,0.0,463.3168004080584,0.0,0.0,0.0,0.0,0.0,416.3824009706161,385.3284031700423,1107.073869448504,0.0,0.0,0.0,0.0,1
6,knf_00001_00385937302,719.3663450932462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.7919194358044,0.0,0.0,0.0,386.74660074665854,391.8944077489597,424.5307543812812,772.7289019256813,0.0,443.3253723752807,366.084753027099,295.4852308305564,509.69209964529625,0.0,562.1592971807407,0.0,0.0,0.0,0.0,0.0,0.0,553.7632601200736,0.0,419.812504396322,0.0,295.51553523863726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.4716472110507,0.0,0.0,0.0,529.7829516668812,0.0,0.0,0.0,0.0,0.0,1
7,knf_00001_00413020320,781.2762532739242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.58219688616794,0.0,0.0,685.7412096917682,402.6526581569592,0.0,495.72506060855255,799.8018576531504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.8954415035898,0.0,686.6553264490685,0.0,0.0,0.0,0.0,0.0,0.0,585.3569217283048,0.0,0.0,0.0,0.0,565.2018730513727,0.0,0.0,0.0,0.0,0.0,0.0,607.2859198052125,1227.3981369269352,0.0,0.0,0.0,0.0,1
8,knf_00001_00443171758,727.7760524279907,0.0,426.59152746822735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.5505750686716,0.0,0.0,0.0,422.7725848391891,428.4269747279528,0.0,623.9189158814378,0.0,460.2507693058799,0.0,0.0,488.9586360237504,0.0,509.707328748284,0.0,509.2906649803301,0.0,0.0,0.0,0.0,539.0134927222957,0.0,462.9686130007284,500.0395019838955,0.0,0.0,0.0,696.3416176526015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.6051888481045,0.0,0.0,395.6538562706716,451.9944629971085,1747.6209914328124,0.0,0.0,0.0,0.0,1
9,knf_00001_00458917460,702.796168697887,0.0,304.20272565152453,0.0,0.0,0.0,0.0,374.89775567260176,0.0,0.0,531.695576988079,0.0,0.0,0.0,459.4864403133183,401.92187066725,0.0,931.0446532043343,0.0,478.71312762189916,0.0,341.793110608809,388.80062883747524,0.0,498.40107872388376,0.0,496.0479634026906,0.0,0.0,1406.1025166858403,0.0,499.51829258631534,0.0,450.28040082053406,462.1831798973295,452.17470856255363,460.489601522675,0.0,0.0,0.0,0.0,0.0,449.1000093656472,0.0,0.0,0.0,390.33634731614313,0.0,0.0,0.0,534.1069651354567,1356.7858372277058,0.0,0.0,0.0,0.0,1
10,knf_00001_00472568742,687.8071098894453,0.0,0.0,0.0,0.0,0.0,0.0,407.6398298096289,0.0,0.0,597.7585825778721,0.0,0.0,0.0,437.40101073665414,401.4938485751154,441.8673280174557,661.786101247837,0.0,327.8998377122126,334.1256892906273,491.54206060577417,324.0303690433305,0.0,553.5281088002266,0.0,527.3578847313966,0.0,0.0,0.0,0.0,602.4756169895421,0.0,449.09066361216844,436.73518386739863,347.0369474845056,0.0,0.0,675.2699239960943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.05294627779523,0.0,0.0,0.0,480.19047551908307,1714.9184094161506,0.0,0.0,0.0,0.0,1
11,knf_00001_00563945117,749.2506138263544,0.0,0.0,0.0,0.0,0.0,0.0,366.721567270602,0.0,0.0,547.9717720509302,0.0,0.0,0.0,0.0,431.81784595457674,0.0,666.9434143393518,0.0,427.362366769872,0.0,0.0,411.53006016105246,0.0,467.5579374607684,0.0,470.0414728654087,0.0,0.0,1218.9813854731274,0.0,654.375991552003,0.0,0.0,452.4799881805029,421.2375338092231,0.0,0.0,659.1541426975722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.8685848156833,1707.3468494720642,0.0,0.0,0.0,0.0,1
12,knf_00001_00568273527,705.7214427907164,0.0,354.3339672084004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.2814325622201,0.0,0.0,0.0,444.01702315927577,392.93238333014216,0.0,625.3053048733701,0.0,366.06530171879706,0.0,348.72931288923456,625.08053400945,0.0,378.2158212504877,0.0,0.0,0.0,0.0,1066.388960142706,0.0,289.692424144443,0.0,417.8367336421056,0.0,374.79374428141364,0.0,0.0,668.0568092733544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.1084895098135,0.0,0.0,0.0,491.40862448619424,0.0,0.0,0.0,0.0,0.0,1
13,knf_00001_00588782804,716.0907830247861,0.0,577.0682929410247,0.0,0.0,0.0,0.0,418.7518236770304,0.0,0.0,0.0,0.0,0.0,0.0,387.66383743394783,477.7083104308609,0.0,737.1098258496247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.7146553417905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.219703885694,0.0,0.0,0.0,0.0,519.7077642998705,0.0,0.0,0.0,0.0,0.0,395.44462280294283,0.0,0.0,0.0,0.0,0.0,0.0,1
14,knf_00001_00614367301,752.8149517811665,0.0,0.0,0.0,0.0,0.0,0.0,697.6033717689351,0.0,0.0,550.216665347038,0.0,0.0,0.0,0.0,429.0514229813172,524.0041249070908,0.0,0.0,0.0,0.0,564.3652003467962,508.160947106056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.4610569084803,434.277616943556,513.0364280821861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.4670908723929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15,knf_00001_00616922783,703.9214544521025,0.0,775.0560598196395,0.0,0.0,0.0,0.0,440.2142331619765,0.0,0.0,574.4629017632684,0.0,0.0,0.0,464.2194126345465,465.0473031375447,0.0,484.5125558836793,0.0,420.46418569620977,619.696652389047,482.53714773710664,480.43455755542163,0.0,551.7708140694386,0.0,0.0,0.0,0.0,1042.523486462971,0.0,519.739568927371,0.0,0.0,479.3733246587732,437.6954442115577,477.5312257028121,0.0,748.6897274360017,0.0,0.0,0.0,0.0,363.3665643451633,0.0,0.0,353.1751710928105,0.0,0.0,445.01111246357846,535.5730820238247,1517.2336656201987,0.0,0.0,0.0,0.0,1
16,knf_00001_00641288576,716.3981193968539,0.0,422.3790627182307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.6904711707591,0.0,0.0,0.0,451.40004759335716,397.09396485301426,0.0,511.907159568638,807.984412525889,433.8892152827646,389.82865448831546,0.0,372.5199198535995,0.0,498.2396657110276,0.0,541.1541156751547,0.0,0.0,1368.0878851814284,0.0,567.2982880568719,0.0,459.18791051259626,0.0,492.39493755355664,0.0,0.0,0.0,422.9461580838205,0.0,0.0,0.0,0.0,0.0,0.0,504.6682229733081,0.0,0.0,339.1463559495399,503.77917386661676,1984.1658482322523,0.0,0.0,0.0,0.0,1
17,knf_00001_00692094076,708.7570471352109,0.0,398.2203368629339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.4798722672305,0.0,803.3078388272787,0.0,497.6638962483096,0.0,449.1835836995275,629.7644187882457,0.0,397.5429978709302,0.0,410.651038139719,420.20461047304246,0.0,559.3133871937,0.0,0.0,0.0,0.0,0.0,0.0,515.093252304986,0.0,412.027965946819,0.0,520.6372592983095,0.0,0.0,605.6903389576478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.16566693975244,0.0,0.0,465.8485642277858,499.7952074929887,606.623148719594,0.0,0.0,0.0,0.0,1
18,knf_00001_00696793208,666.7153718480735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.1492392031774,0.0,0.0,0.0,438.36887555549407,0.0,488.7256691448707,650.0429542231745,0.0,364.52886591507615,0.0,474.2141507156819,391.05836266253425,0.0,533.3119850033684,0.0,663.4679194265917,0.0,0.0,699.609244654684,0.0,469.0172621128486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.5198149879873,0.0,0.0,0.0,0.0,0.0,1
