,start,end,phoneme,f1
0,1.11,1.155,t̪ʰ,1412.1660006347404
1,1.14,1.1849999999999998,a,1124.5706755233346
2,1.23,1.275,n,465.79721824376526
3,1.29,1.335,a,1051.77595812106
4,1.47,1.515,ŋ,586.1286999285959
5,1.59,1.635,ɡ,629.1165967337128
6,1.65,1.6949999999999998,a,1013.8045395223401
7,1.74,1.785,m,313.5989980840977
8,1.83,1.875,ʂ,1533.4438981142964
9,1.89,1.935,a,571.6432929719011
10,1.95,1.995,ɡ,293.8474806432822
11,2.01,2.055,a,534.3063091943908
12,2.07,2.115,l̪,428.47542432937024
13,2.1,2.145,e,430.14134894567223
14,2.16,2.205,s,470.36124320868987
15,2.19,2.235,iː,345.6230081765398
16,2.28,2.325,t̪,704.869249822451
17,2.31,2.355,a,598.2825087629827
18,2.43,2.475,k,664.9944115082786
19,2.49,2.535,o,478.5490831358753
20,2.61,2.655,ʂ,1509.9594103924178
21,2.67,2.715,e,518.3829580577935
22,2.73,2.775,v,496.21500484645463
23,2.76,2.805,e,604.8449717738221
24,2.82,2.865,l,470.1386205644872
25,2.85,2.895,e,468.2993472502024
26,2.97,3.015,m,376.49303092153343
27,3.0,3.045,e,378.05526495946236
28,3.12,3.165,t̪,918.1646839401726
29,3.15,3.195,e,442.3162533331228
30,3.24,3.285,ɡ,353.3382846915488
31,3.3,3.345,e,468.9855809777851
32,3.42,3.465,w,407.2989902244436
33,3.45,3.495,o,393.10078408938614
34,3.51,3.555,t̪,644.0273401110843
35,3.57,3.615,o,360.268496251878
36,3.63,3.675,i,330.4555264433944
37,3.81,3.855,ɳ,317.939713722817
38,3.87,3.915,o,410.17584294648304
39,3.96,4.005,k,892.6610352040263
40,4.02,4.065,a,679.2140480519112
41,4.11,4.155,s,1599.4633085355133
42,4.29,4.335,a,1035.2475819868503
