,start,end,phoneme
0,0.81,0.8550000000000001,i
1,1.02,1.065,e
2,1.11,1.155,ɾ
3,1.17,1.2149999999999999,e
4,1.23,1.275,ɾ
5,1.29,1.335,a
6,1.35,1.395,ɾ
7,1.38,1.4249999999999998,a
8,1.47,1.515,n
9,1.53,1.575,æ
10,1.59,1.635,ɾ
11,1.65,1.6949999999999998,o
12,1.68,1.7249999999999999,ɡ
13,1.74,1.785,e
14,1.8,1.845,n
15,1.86,1.905,a
16,1.92,1.9649999999999999,ɾ
17,1.98,2.025,e
18,2.13,2.175,t̪
19,2.16,2.205,e
20,2.19,2.235,j
21,2.22,2.265,a
22,2.34,2.385,ʂ
23,2.4,2.445,a
24,2.49,2.535,k
25,2.55,2.5949999999999998,o
26,2.64,2.685,l
27,2.7,2.745,a
28,2.79,2.835,n
29,2.88,2.925,o
30,3.03,3.0749999999999997,t̪
31,3.09,3.135,e
32,3.15,3.195,l
33,3.21,3.255,iː
34,3.33,3.375,o
35,3.45,3.495,t̪
36,3.51,3.5549999999999997,o
37,3.63,3.675,ʂ
38,3.69,3.735,u
39,3.87,3.915,t̪
40,3.93,3.975,a
41,3.99,4.035,b
42,4.05,4.095,a
43,4.14,4.185,s̪
44,4.2,4.245,iː
45,4.26,4.305,t̪
46,4.32,4.365,e
