,start,end,phoneme
0,0.87,0.915,i
1,1.02,1.065,k
2,1.08,1.125,a
3,1.17,1.2149999999999999,ɾ
4,1.23,1.275,e
5,1.29,1.335,v
6,1.35,1.395,i
7,1.41,1.4549999999999998,t̪
8,1.44,1.4849999999999999,a
9,1.53,1.575,n
10,1.59,1.635,a
11,1.8,1.845,s
12,1.83,1.875,i
13,1.92,1.9649999999999999,ŋ
14,1.98,2.025,k
15,2.04,2.085,a
16,2.13,2.175,n
17,2.19,2.235,o
18,2.37,2.415,l
19,2.4,2.445,a
20,2.46,2.505,ɡ
21,2.49,2.535,o
22,2.52,2.565,n
23,2.58,2.625,d̪
24,2.61,2.655,iː
25,2.7,2.745,ʂ
26,2.73,2.775,u
27,2.82,2.8649999999999998,t̪
28,2.91,2.955,ɾ
29,2.97,3.015,e
