,start,end,phoneme,f1
0,1.41,1.4549999999999998,a,672.5933108084871
1,1.47,1.515,ɳ,361.67752536441446
2,1.59,1.635,t̪,729.449719427988
3,1.62,1.665,æ,575.3176740055524
4,1.68,1.725,ɾ,485.6121808346384
5,1.74,1.785,i,436.7326316050959
6,1.86,1.905,ʂ,1699.7913230894137
7,1.95,1.995,e,530.9378028620101
8,2.04,2.085,æ,609.4187020817492
9,2.1,2.145,n,446.98488471142656
10,2.13,2.175,ɳ,448.8972788075117
11,2.19,2.235,a,529.9443659964246
12,2.31,2.355,pʰ,592.8009483102317
13,2.37,2.415,a,558.2185335334235
14,2.46,2.505,t̪,559.6906581517626
15,2.49,2.535,e,503.0765976630997
16,2.55,2.595,b,387.41940076726144
17,2.61,2.655,i,350.2645935742121
18,2.67,2.715,ɡ,282.42283988198807
19,2.7,2.745,k,473.5597516173769
20,2.76,2.805,a,646.5128945044086
21,2.94,2.985,i,369.82917892613847
22,3.15,3.195,w,311.732625095094
23,3.18,3.225,e,345.87386209563283
24,3.24,3.285,n,153.15092508466313
25,3.3,3.345,d̪,256.6740134605024
26,3.33,3.375,i,438.0900170199463
27,3.39,3.435,æ,635.0715599947544
28,3.45,3.495,ɾ,719.0978106189586
29,3.54,3.585,t̪ʰ,838.5285794561236
30,3.6,3.645,iː,298.9222514056549
31,3.63,3.675,ɡ,316.75998454241983
32,3.69,3.735,o,487.45687970405146
33,3.75,3.795,l,364.50512393585984
34,3.81,3.855,o,397.0125470170833
